Edge1-Edge2	KappaScore
GO:0010557 (term-term) GO:0009893	0.5835902835225991
GO:0010557 (term-term) GO:0010468	0.4554822447920528
GO:0010557 (term-term) GO:0010556	0.6157333937882566
GO:0010557 (term-term-ontology) GO:0009059	2.0
GO:0010557 (term-term-ontology) GO:0009891	2.0
GO:0010557 (term-term-ontology) GO:0010556	2.0
GO:0010558 (term-term) GO:0000122	0.6851428002786347
GO:0010558 (term-term) GO:0009059	0.4337461521941441
GO:0010558 (term-term) GO:0009889	0.4272967378114071
GO:0010558 (term-term) GO:0009890	0.9899188152377556
GO:0010558 (term-term) GO:0009892	0.6615966585231301
GO:0010558 (term-term) GO:0010556	0.44023260822743926
GO:0010558 (term-term-ontology) GO:0009059	2.0
GO:0010558 (term-term-ontology) GO:0009890	2.0
GO:0010558 (term-term-ontology) GO:0010556	2.0
GO:0010562 (term-term) GO:0001932	0.7724244771494962
GO:0010562 (term-term) GO:0001934	0.9209375546615356
GO:0010562 (term-term) GO:0006468	0.6313714829414161
GO:0010604 (term-term) GO:0006351	0.41412832145171746
GO:0010604 (term-term) GO:0006355	0.42444821731748716
GO:0010604 (term-term) GO:0009059	0.48290207171977695
GO:0010604 (term-term) GO:0009889	0.4912456228114058
GO:0010604 (term-term) GO:0009891	0.6468480829331504
GO:0010604 (term-term) GO:0009893	0.9243134628265237
GO:0010604 (term-term) GO:0010468	0.4759532806595672
GO:0010604 (term-term) GO:0010556	0.4933576884755896
GO:0010604 (term-term) GO:0010557	0.6481889285443088
GO:0010604 (term-term-ontology) GO:0009893	2.0
GO:0010604 (term-term-ontology) GO:0010557	2.0
GO:0010605 (term-term) GO:0000122	0.4272266473569877
GO:0010605 (term-term) GO:0009890	0.6764752664227771
GO:0010605 (term-term) GO:0009892	0.9734305196332003
GO:0010605 (term-term) GO:0010468	0.4434354317377252
GO:0010605 (term-term) GO:0010558	0.6853369400906995
GO:0010605 (term-term-ontology) GO:0009892	2.0
GO:0010605 (term-term-ontology) GO:0010558	2.0
GO:0010608 (term-term) GO:0009895	0.4116042648152736
GO:0010608 (term-term-ontology) GO:0010468	2.0
GO:0010628 (term-term) GO:0010608	0.44011617973688666
GO:0010628 (term-term-ontology) GO:0010468	2.0
GO:0010628 (term-term-ontology) GO:0010604	2.0
GO:0010629 (term-term) GO:0010608	0.5204048318641855
GO:0010629 (term-term) GO:0010628	0.4835895305359371
GO:0010629 (term-term-ontology) GO:0010468	2.0
GO:0010629 (term-term-ontology) GO:0010605	2.0
GO:0010941 (term-term) GO:0006915	0.913162806016028
GO:0012501 (term-term) GO:0006915	0.975670147486274
GO:0012501 (term-term) GO:0010941	0.9387931968367457
GO:0012501 (term-term-ontology) GO:0006915	2.0
GO:0016055 (term-term) GO:0007267	0.8779038357644515
GO:0016070 (term-term) GO:0006351	0.8233939294233774
GO:0016070 (term-term) GO:0006355	0.8146477487082752
GO:0016070 (term-term) GO:0006357	0.6192080876158381
GO:0016070 (term-term) GO:0006366	0.6268335765302205
GO:0016070 (term-term) GO:0009059	0.825990247240996
GO:0016070 (term-term) GO:0009889	0.7963614519866128
GO:0016070 (term-term) GO:0009891	0.489188578316884
GO:0016070 (term-term) GO:0010468	0.8074266750381199
GO:0016070 (term-term) GO:0010556	0.8168869936034114
GO:0016070 (term-term) GO:0010557	0.5088797302360435
GO:0016070 (term-term) GO:0010604	0.4382846069593058
GO:0018130 (term-term) GO:0003700	0.4659347051552389
GO:0018130 (term-term) GO:0006351	0.9360084135587737
GO:0018130 (term-term) GO:0006355	0.9270084779975776
GO:0018130 (term-term) GO:0006357	0.7210091813903249
GO:0018130 (term-term) GO:0006366	0.7292262502898663
GO:0018130 (term-term) GO:0009059	0.906216283509005
GO:0018130 (term-term) GO:0009889	0.8966320166320167
GO:0018130 (term-term) GO:0009891	0.5861121709271271
GO:0018130 (term-term) GO:0010468	0.7003165369150484
GO:0018130 (term-term) GO:0010556	0.8970429884867059
GO:0018130 (term-term) GO:0010557	0.5876225956055651
GO:0018130 (term-term) GO:0010604	0.43356068699153577
GO:0018130 (term-term) GO:0016070	0.8101637967240657
GO:0019219 (term-term) GO:0006351	0.8048038167311014
GO:0019219 (term-term) GO:0006355	0.8146477487082752
GO:0019219 (term-term) GO:0006357	0.6192080876158381
GO:0019219 (term-term) GO:0006366	0.6094769986944167
GO:0019219 (term-term) GO:0009059	0.8453246642142183
GO:0019219 (term-term) GO:0009889	0.8545438942761521
GO:0019219 (term-term) GO:0009891	0.5232426730957584
GO:0019219 (term-term) GO:0009893	0.4633451342716519
GO:0019219 (term-term) GO:0010468	0.7871557987263431
GO:0019219 (term-term) GO:0010556	0.8554371002132196
GO:0019219 (term-term) GO:0010557	0.5258149119520421
GO:0019219 (term-term) GO:0010604	0.514449406015671
GO:0019219 (term-term) GO:0016070	0.9015078880850691
GO:0019219 (term-term) GO:0018130	0.8481310373792527
GO:0019220 (term-term) GO:0001932	0.892803902967882
GO:0019220 (term-term) GO:0001934	0.7321084605126684
GO:0019220 (term-term) GO:0006468	0.7503988219413426
GO:0019220 (term-term) GO:0010562	0.8070849338454973
GO:0019438 (term-term) GO:0003700	0.4659347051552389
GO:0019438 (term-term) GO:0006351	0.9360084135587737
GO:0019438 (term-term) GO:0006355	0.9270084779975776
GO:0019438 (term-term) GO:0006357	0.7210091813903249
GO:0019438 (term-term) GO:0006366	0.7292262502898663
GO:0019438 (term-term) GO:0009059	0.906216283509005
GO:0019438 (term-term) GO:0009889	0.8966320166320167
GO:0019438 (term-term) GO:0009891	0.5861121709271271
GO:0019438 (term-term) GO:0010468	0.7003165369150484
GO:0019438 (term-term) GO:0010556	0.8970429884867059
GO:0019438 (term-term) GO:0010557	0.5876225956055651
GO:0019438 (term-term) GO:0010604	0.43356068699153577
GO:0019438 (term-term) GO:0016070	0.8101637967240657
GO:0019438 (term-term) GO:0018130	1.0
GO:0019438 (term-term) GO:0019219	0.8481310373792527
GO:0019789 (term-term) GO:0016925	0.82891748675246
GO:0019789 (term-term-ontology) GO:0016925	2.0
GO:0030111 (term-term) GO:0007267	0.7583122691036361
GO:0030111 (term-term) GO:0016055	0.8767720828789534
GO:0030111 (term-term-ontology) GO:0016055	2.0
GO:0030177 (term-term) GO:0007267	0.4869466515323495
GO:0030177 (term-term) GO:0016055	0.5829158977063007
GO:0030177 (term-term) GO:0030111	0.6902223575997563
GO:0030177 (term-term-ontology) GO:0016055	2.0
GO:0030177 (term-term-ontology) GO:0030111	2.0
