Group,WNT,WNT,SHH,SHH,Group3,Group3,Group4,Group4
Attribute,name,correlation,name,correlation,name,correlation,name,correlation
55,FRMPD2,0.828461538461538,PLCXD3,0.764615384615385,MRPS6,0.533846153846154,MEIS2,0.902307692307692
56,GSS,0.577692307692308,EXOC3L1,0.687692307692308,ALS2CR12,0.823076923076923,SETMAR,0.576923076923077
57,ZIC5,0.916923076923077,CYP11A1,0.801538461538462,BRIX1,0.486923076923077,SAMD14,0.506923076923077
58,GPC6,0.776923076923077,SH3BGRL3,0.743846153846154,ZADH2,0.657692307692308,TTC3,0.536153846153846
59,XYLT2,0.598461538461538,PLEKHA6,0.759230769230769,EYS,0.921538461538462,LPAR4,0.896923076923077
60,PRICKLE1,0.623846153846154,SDC2,0.783076923076923,ARHGAP44,0.508461538461539,RASAL1,0.795384615384615
61,PCDH8,0.535384615384615,TSPAN12,0.606153846153846,SLC5A8,0.864871311358914,SLC6A3,0.827692307692308
62,ST8SIA3,0.52,GBP1,0.600769230769231,HMGA1,0.646923076923077,SDCCAG8,0.686923076923077
63,MATN4,0.700769230769231,LSM6,0.684615384615385,EPHA8,0.775384615384615,ATXN7L1,0.568461538461538
64,CACNG5,0.646923076923077,CTC-360G5.1,0.833846153846154,COL27A1,0.742307692307692,FAM65B,0.979230769230769
65,PHLDB2,0.629230769230769,FAT1,0.776923076923077,HSPB8,0.738461538461539,NANOS3,0.646153846153846
66,ITGA8,0.709230769230769,KRT17,0.813846153846154,WASF3,0.82,SLC24A4,0.806923076923077
67,SELENBP1,0.652307692307692,CPNE2,0.803846153846154,KCNMA1,0.813076923076923,ERBB4,0.908461538461539
68,ITGA9,0.616923076923077,ITPA,0.492307692307692,GAS7,0.736153846153846,FAM161B,0.683846153846154
69,FBLN1,0.592307692307692,GCNT2,0.866923076923077,SLC17A7,0.593846153846154,PTEN,0.486153846153846
70,STX1A,0.534615384615385,KLF13,0.744615384615385,CLIC6,0.746153846153846,PER2,0.726923076923077
71,GMPR2,0.5,GRIN2A,0.844615384615385,DAB1,0.91,OAS3,0.692307692307692
