Gene,Group,Correlation
EVC,WNT,0.89
PAQR9,Group4,0.889230769230769
AC026703.1,Group3,0.889230769230769
PAQR9,Group3,0.889230769230769
SYCP1,Group4,0.888809713726884
MFNG,WNT,0.888461538461539
CACNA2D1,Group4,0.888461538461539
TOX3,SHH,0.888461538461539
PDGFC,WNT,0.888461538461539
CACNA2D1,Group3,0.888461538461539
BNC2,Group3,0.888461538461539
NUDT4,Group4,0.888461538461539
MFNG,SHH,0.888461538461539
IGF2BP3,Group3,0.888461538461539
GAP43,WNT,0.886923076923077
PARD6B,Group3,0.886923076923077
PAX6,SHH,0.886923076923077
TP53BP2,Group4,0.886923076923077
FBXL7,WNT,0.886923076923077
STOX2,Group4,0.886153846153846
HOXD4,WNT,0.885720887614888
DSP,WNT,0.885384615384615
SEMA3C,Group3,0.885384615384615
LHX1,Group4,0.884615384615385
SBK2,Group3,0.884615384615385
ALDH1A3,SHH,0.884615384615385
PCSK1,WNT,0.883846153846154
SYTL4,Group3,0.883846153846154
HS3ST1,WNT,0.883846153846154
PDE6H,Group3,0.883404268030891
HCN2,Group3,0.883076923076923
HUNK,WNT,0.883076923076923
FGF14,SHH,0.883076923076923
AC008060.7,Group4,0.883076923076923
GABRG2,Group3,0.883076923076923
GABARAPL1,Group3,0.883076923076923
EOGT,WNT,0.882307692307692
KIAA1549L,SHH,0.882307692307692
KIAA1549L,Group4,0.882307692307692
TLL1,Group4,0.882307692307692
NLGN4X,SHH,0.882307692307692
EOGT,Group3,0.882307692307692
HECW1,WNT,0.881538461538462
DENND1B,Group3,0.881538461538462
GXYLT2,WNT,0.881538461538462
NKAIN1,SHH,0.881538461538462
NKD2,WNT,0.881538461538462
MAB21L2,Group3,0.881538461538462
NKAIN1,Group4,0.881538461538462
TGFB3,Group3,0.880769230769231
FOXP2,Group4,0.880769230769231
TENM4,Group4,0.880769230769231
KBTBD11,Group4,0.88
TMEM163,Group4,0.88
CHRM3,Group4,0.88
LRRC4B,Group4,0.879230769230769
CNTN1,Group3,0.879230769230769
NTF3,Group3,0.879230769230769
