Group,WNT,WNT,SHH,SHH,Group3,Group3,Group4,Group4
Attribute,name,correlation,name,correlation,name,correlation,name,correlation
53,ARHGAP5,0.683846153846154,BARD1,0.741538461538461,B3GALTL,0.617692307692308,ASB8,0.66
54,ARHGEF10,0.717692307692308,BARHL2,0.892307692307692,B9D2,0.69,ASTN2,0.912307692307692
55,ARHGEF28,0.79,BBX,0.501538461538462,BACE1,0.515384615384615,ASXL3,0.667692307692308
56,ARL4C,0.741538461538461,BCL11A,0.828461538461538,BCL11B,0.651538461538462,ATCAY,0.639230769230769
57,ARL6IP4,0.546923076923077,BCL2,0.6,BCMO1,0.793846153846154,ATF7IP,0.528461538461539
58,ASCL5,0.727692307692308,BCL2L11,0.76,BCOR,0.72,ATP6AP2,0.496923076923077
59,ASTN1,0.547692307692308,BCL6,0.535384615384615,BET1,0.600769230769231,ATP6V0A2,0.729230769230769
60,ATF3,0.810769230769231,BMP5,0.667692307692308,BICD1,0.592307692307692,ATP6V0E2,0.496153846153846
61,ATG13,0.493076923076923,BNC1,0.713846153846154,BMF,0.801538461538462,ATP6V1D,0.521538461538462
62,ATOH8,0.603076923076923,BOC,0.671538461538462,BNC2,0.888461538461539,ATP6V1H,0.607692307692308
63,ATP8A1,0.863846153846154,BOK,0.856153846153846,BRIX1,0.486923076923077,ATP9A,0.528461538461539
64,ATP8A2,0.727692307692308,BTBD11,0.862307692307692,BSG,0.648461538461539,ATXN1,0.577692307692308
65,AUTS2,0.641538461538462,BTBD17,0.749230769230769,BSPH1,0.819913827706012,ATXN7L1,0.568461538461538
66,AVEN,0.496153846153846,BTBD3,0.615384615384615,BTC,0.857692307692308,B3GAT1,0.82
67,BACH2,0.622307692307692,BTG2,0.779230769230769,C11orf96,0.706923076923077,B3GNT8,0.740769230769231
68,BAMBI,0.640769230769231,BUB1,0.523076923076923,C14orf144,0.611538461538462,B4GALNT1,0.691538461538462
69,BCAR3,0.598461538461538,BVES,0.572307692307692,C14orf23,0.896438781584557,B4GALT6,0.904615384615385
70,BCAT2,0.817692307692308,C11orf54,0.553846153846154,C14orf39,0.731538461538462,BACH1,0.492307692307692
71,BET1,0.600769230769231,C11orf70,0.730769230769231,C14orf79,0.533076923076923,BARHL1,0.896153846153846
72,BHLHE40,0.636153846153846,C12orf29,0.517692307692308,C19orf77,0.896153846153846,BBS2,0.611538461538462
73,BIRC3,0.513846153846154,C16orf89,0.725384615384615,C1D,0.582307692307692,BCAS3,0.528461538461539
74,BMF,0.801538461538462,C1QL1,0.513076923076923,C1GALT1,0.576923076923077,BEGAIN,0.716923076923077
75,BMP2,0.622307692307692,C1orf109,0.513076923076923,C1QTNF4,0.689230769230769,BEX5,0.800769230769231
76,BMP4,0.605384615384615,C3orf72,0.540769230769231,C1orf173,0.828461538461538,BHLHE22,0.573076923076923
77,BMP7,0.878461538461539,C5orf38,0.76,C1orf27,0.563846153846154,BICD1,0.592307692307692
78,BRD7,0.489230769230769,C6orf123,0.726923076923077,C21orf90,0.828461538461538,BLCAP,0.69
79,BRE,0.502307692307692,C7orf31,0.509230769230769,C2orf71,0.896153846153846,BMI1,0.62
80,BSG,0.648461538461539,CA14,0.743076923076923,C5orf22,0.559230769230769,BRAP,0.654615384615385
81,BTD,0.628461538461538,CABYR,0.495384615384615,C5orf30,0.764615384615385,BRI3BP,0.805384615384615
82,BTG2,0.779230769230769,CACNG4,0.690769230769231,C7,0.623846153846154,BRINP1,0.596153846153846
83,C11orf54,0.553846153846154,CACNG7,0.816153846153846,C7orf33,0.815507591368068,BTBD9,0.616153846153846
84,C11orf87,0.616923076923077,CALCB,0.640769230769231,C7orf73,0.713846153846154,BTN2A2,0.741538461538461
85,C15orf38-AP3S2,0.605384615384615,CALN1,0.84,CABP2,0.515061754175353,BTRC,0.598461538461538
86,C18orf42,0.877692307692308,CAMK2N1,0.925384615384615,CABP5,0.840290348180773,C10orf85,0.64
87,C19orf81,0.533076923076923,CATSPERG,0.571538461538462,CACNA1G,0.766153846153846,C11orf63,0.785384615384615
88,C1orf74,0.586923076923077,CAV2,0.600769230769231,CACNA2D1,0.888461538461539,C12orf49,0.503846153846154
89,C1orf95,0.727692307692308,CCDC109B,0.806923076923077,CACNA2D4,0.623076923076923,C12orf5,0.608461538461538
90,C20orf196,0.599230769230769,CCNB1,0.506153846153846,CALR,0.684615384615385,C13orf45,0.899788437494665
91,C21orf33,0.543076923076923,CCNC,0.503846153846154,CAMK2D,0.680769230769231,C14orf132,0.503076923076923
92,C3orf72,0.540769230769231,CCND1,0.617692307692308,CAMKV,0.764615384615385,C14orf37,0.543076923076923
93,C5orf15,0.498461538461538,CCNI,0.608461538461538,CAMSAP3,0.835384615384615,C14orf39,0.731538461538462
94,C5orf38,0.76,CCSER2,0.675384615384615,CASZ1,0.698461538461539,C16orf95,0.765384615384615
95,C8orf56,0.53,CDCA7,0.735384615384615,CAV1,0.646923076923077,C19orf77,0.896153846153846
96,C9orf3,0.600769230769231,CDH7,0.783846153846154,CBLB,0.804615384615385,C1orf115,0.743846153846154
97,C9orf9,0.500769230769231,CEBPA,0.573846153846154,CBX1,0.576923076923077,C1orf204,0.723076923076923
98,CA10,0.752307692307692,CEBPB,0.506923076923077,CCDC177,0.689230769230769,C1orf216,0.846923076923077
99,CA11,0.793076923076923,CECR2,0.806153846153846,CCDC24,0.593076923076923,C1orf61,0.624615384615385
100,CACHD1,0.759230769230769,CELF2,0.696923076923077,CCIN,0.753076923076923,C2orf49,0.496153846153846
101,CACNA1A,0.866153846153846,CEND1,0.578461538461538,CCNC,0.503846153846154,C2orf69,0.558461538461538
102,CACNA1D,0.623076923076923,CHDH,0.850769230769231,CCNE1,0.592307692307692,C3orf58,0.804615384615385
103,CACNA1S,0.649230769230769,CHPT1,0.6,CCPG1,0.646923076923077,C3orf70,0.676923076923077
104,CACNG5,0.646923076923077,CHRNA5,0.748461538461538,CCT5,0.489230769230769,C4orf21,0.530769230769231
105,CADM1,0.584615384615385,CHSY1,0.651538461538462,CD70,0.743482704381144,C4orf33,0.616153846153846
106,CALD1,0.599230769230769,CKLF-CMTM1,0.584615384615385,CDC40,0.525384615384615,C7orf13,0.665384615384615
107,CALHM2,0.695384615384615,CLDN4,0.692307692307692,CDCA7,0.735384615384615,C8orf48,0.543076923076923
108,CALR,0.684615384615385,CLIP2,0.808461538461538,CDH24,0.658461538461538,CA4,0.778461538461538
109,CAMK2G,0.543846153846154,CLMP,0.786923076923077,CDH8,0.769230769230769,CABYR,0.495384615384615
110,CAND2,0.613076923076923,CMIP,0.755384615384615,CDK7,0.550769230769231,CACNA1C,0.548461538461538
111,CAPN2,0.593076923076923,CMTM3,0.617692307692308,CDKAL1,0.863846153846154,CACNA2D1,0.888461538461539
112,CAST,0.513076923076923,CNKSR2,0.711538461538462,CEACAM21,0.843076923076923,CACNB3,0.698461538461539
113,CBLN2,0.535384615384615,CNR1,0.748461538461538,CENPW,0.867692307692308,CADM4,0.523076923076923
114,CCBE1,0.657692307692308,CNTN2,0.79,CERS4,0.857692307692308,CADPS,0.706923076923077
115,CCDC109B,0.806923076923077,COL15A1,0.6,CHD3,0.636153846153846,CADPS2,0.816153846153846
116,CCDC181,0.667692307692308,COL21A1,0.713846153846154,CHGA,0.699230769230769,CAMK2N1,0.925384615384615
117,CCDC3,0.613846153846154,COL25A1,0.73,CITED1,0.573846153846154,CAMSAP3,0.835384615384615
118,CCDC36,0.673846153846154,COL3A1,0.608461538461538,CLGN,0.63,CAMTA1,0.762307692307692
119,CCDC8,0.731538461538462,COL5A2,0.644615384615385,CLIC6,0.746153846153846,CAP2,0.861538461538462
120,CCDC80,0.565384615384615,COL8A1,0.613076923076923,CLIP4,0.772307692307692,CARD10,0.591538461538462
121,CCDC88C,0.541538461538462,COMMD10,0.54,CMSS1,0.606923076923077,CBLN4,0.807692307692308
122,CCL3,0.540769230769231,COX4I1,0.642307692307692,CMTR1,0.556923076923077,CBX1,0.576923076923077
123,CCNJL,0.747692307692308,CPED1,0.534615384615385,CNGB1,0.823076923076923,CCDC120,0.629230769230769
124,CCSER2,0.675384615384615,CPLX1,0.765384615384615,CNGB3,0.64822398288231,CCDC171,0.498461538461538
125,CD226,0.683076923076923,CPM,0.528461538461539,CNNM4,0.558461538461538,CCDC24,0.593076923076923
126,CD44,0.541538461538462,CPNE2,0.803846153846154,CNTN1,0.879230769230769,CCDC97,0.512307692307692
127,CD58,0.493076923076923,CPQ,0.647692307692308,CNTNAP5,0.670769230769231,CCND2,0.564615384615385
128,CDC14A,0.681538461538462,CRB1,0.684615384615385,COL27A1,0.742307692307692,CCNE1,0.592307692307692
129,CDC34,0.579230769230769,CRIP2,0.697692307692308,COX11,0.556923076923077,CCNH,0.608461538461538
130,CDC42EP1,0.524615384615385,CRISPLD2,0.686923076923077,COX7C,0.526153846153846,CCNT2,0.486153846153846
131,CDC42EP3,0.666153846153846,CSMD1,0.793076923076923,CPPED1,0.575384615384615,CCSER1,0.789230769230769
132,CDKL1,0.780769230769231,CSNK1E,0.534615384615385,CRADD,0.603846153846154,CD200,0.863846153846154
133,CDKN1C,0.893846153846154,CTC-360G5.1,0.833846153846154,CRHBP,0.519230769230769,CDH1,0.759230769230769
134,CDPF1,0.557692307692308,CTC-786C10.1,0.594615384615385,CRX,0.903846153846154,CDH18,0.890769230769231
135,CELF6,0.693076923076923,CTDSP1,0.68,CRY1,0.749230769230769,CDH23,0.901538461538462
136,CEP112,0.668461538461539,CTDSPL,0.762307692307692,CSRNP3,0.870769230769231,CDH24,0.658461538461538
137,CERS4,0.857692307692308,CTNNA2,0.583076923076923,CSTF3,0.485384615384615,CDK14,0.835384615384615
138,CHRM4,0.747692307692308,CXCR4,0.824615384615385,CTD-3214H19.16,0.714615384615385,CDKN2B,0.798461538461538
139,CHST11,0.59,CXXC11,0.796533270469759,CUL1,0.750769230769231,CDYL2,0.842307692307692
140,CHST8,0.504615384615385,CXorf57,0.835384615384615,DAB1,0.91,CELF2,0.696923076923077
141,CKLF-CMTM1,0.584615384615385,CYBRD1,0.551538461538462,DAP3,0.533846153846154,CELF4,0.724615384615385
142,CLCN4,0.730769230769231,CYFIP1,0.748461538461538,DCT,0.907692307692308,CELF5,0.86
143,CLDN11,0.662307692307692,CYP11A1,0.801538461538462,DDX55,0.713846153846154,CELSR2,0.574615384615385
144,CLU,0.682307692307692,CYYR1,0.660769230769231,DEGS1,0.690769230769231,CEP120,0.528461538461539
145,CLYBL,0.802307692307692,DAAM1,0.755384615384615,DENND1A,0.856923076923077,CEP170,0.627692307692308
146,CMTM3,0.617692307692308,DAGLA,0.87,DENND1B,0.881538461538462,CERS1,0.711538461538462
147,CNGA3,0.844615384615385,DAPL1,0.866923076923077,DENND2C,0.842307692307692,CGGBP1,0.550769230769231
148,CNTN5,0.66,DBF4,0.54,DGKI,0.775384615384615,CHD3,0.636153846153846
149,CNTN6,0.78,DCC,0.835384615384615,DIRAS2,0.643846153846154,CHGB,0.584615384615385
150,COL12A1,0.706153846153846,DCDC1,0.891538461538462,DISC1,0.800769230769231,CHL1,0.907692307692308
151,COL13A1,0.720769230769231,DCN,0.499230769230769,DLEU7,0.690769230769231,CHN2,0.722307692307692
152,COL23A1,0.623846153846154,DCTD,0.612307692307692,DLGAP2,0.626923076923077,CHRD,0.605384615384615
153,COL2A1,0.636153846153846,DDX60,0.596153846153846,DMD,0.867692307692308,CHRM3,0.88
154,COL4A5,0.8,DERA,0.544615384615385,DMGDH,0.795384615384615,CHST1,0.730769230769231
155,COL5A1,0.675384615384615,DGKQ,0.748461538461538,DMRTA2,0.779230769230769,CHST12,0.516923076923077
156,COL6A3,0.697692307692308,DIAPH2,0.653076923076923,DNAJB2,0.67,CIRH1A,0.729230769230769
157,COL8A2,0.506923076923077,DMRTA1,0.945384615384615,DOCK9,0.700769230769231,CITED1,0.573846153846154
158,COLEC12,0.612307692307692,DNTT,0.66441577950734,DOK6,0.926923076923077,CITED2,0.55
159,COLGALT2,0.824615384615385,DOCK10,0.768461538461539,DST,0.503076923076923,CLCN4,0.730769230769231
160,COTL1,0.523846153846154,DOCK11,0.527692307692308,DTD2,0.777692307692308,CLGN,0.63
161,CPED1,0.534615384615385,DPF3,0.523076923076923,DYRK2,0.747692307692308,CLIP1,0.705384615384615
162,CPNE9,0.767692307692308,DRAM2,0.657692307692308,DYX1C1,0.580769230769231,CLIP3,0.673076923076923
163,CRABP2,0.768461538461539,DRD2,0.925384615384615,EDIL3,0.832307692307692,CLK3,0.566923076923077
164,CRADD,0.603846153846154,DSCAM,0.894615384615385,EFHC1,0.626153846153846,CMC1,0.738461538461539
165,CRB2,0.653076923076923,DTWD1,0.532307692307692,EGLN3,0.85,CMPK2,0.827692307692308
166,CREB3L2,0.783076923076923,DUSP11,0.601538461538462,EIF1B,0.609230769230769,CNPY1,0.945384615384615
