"SIGNOR ID";"PROT. FAMILY NAME";"LIST OF ENTITIES"
SIGNOR-PF66;Axonemal_Dynein;"O96015,  Q0VDD8,  Q4LDG9,  Q5T1B0,  Q5VTH9,  Q6TDU7,  Q6ZR08,  Q8IVF4,  Q8IWG1,  Q8TD57,  Q8TE73,  Q8WXX0,  Q96DT5,  Q96JB1,  Q9C0G6,  Q9GZS0,  Q9NYC9,  Q9P225,  Q9P2D7,  Q9UFH2,  Q9UI46"
SIGNOR-PF67;Cytoplasmic_Dynein;"O14576,  P63167,  Q13409,  Q14204,  Q8NCM8,  Q8TF09,  Q96FJ2,  Q9NP97,  Q9Y6G9"
SIGNOR-PF68;"Histone H2B";"A0A2R8Y619,  O60814,  P06899,  P0C1H6,  P23527,  P33778,  P57053,  P58876,  P62807,  Q16778,  Q5QNW6,  Q6DN03,  Q7Z2G1,  Q8N257,  Q93079,  Q96A08,  Q99877,  Q99879,  Q99880"
SIGNOR-PF69;"Histone H3";"P0DPK2,  P0DPK5,  P68431,  P84243,  Q16695,  Q5TEC6,  Q6NXT2,  Q71DI3"
SIGNOR-PF70;"Histone H2A";"P04908,  P0C0S5,  P0C0S8,  P0C5Y9,  P0C5Z0,  P16104,  P20671,  Q16777,  Q6FI13,  Q71UI9,  Q7L7L0,  Q8IUE6,  Q93077,  Q96KK5,  Q96QV6,  Q99878,  Q9BTM1"
SIGNOR-PF71;Cadherins;"O75309,  P12830,  P19022,  P22223,  P33151,  P55283,  P55285,  P55286,  P55287,  P55289,  P55290,  P55291,  Q12864,  Q13634,  Q86UP0,  Q9H159,  Q9H251,  Q9HBT6,  Q9UJ99,  Q9ULB4,  Q9ULB5,  Q9Y6N8"
SIGNOR-PF72;α-Catenin;"P26232,  P35221,  Q9UI47"
SIGNOR-PF73;SPTB;"O15020,  Q01082,  Q9H254,  Q9NRC6"
SIGNOR-PF74;Enolase;"P06733,  P09104,  P13929"
SIGNOR-PF75;Aldolase;"P04075,  P05062,  P09972"
SIGNOR-PF76;Hexokinase;"P19367,  P35557,  P52789,  P52790"
SIGNOR-PF77;PKG;"P00558,  P07205"
SIGNOR-PF78;PGAM;"P15259,  P18669"
SIGNOR-PF79;PFK;"P08237,  P17858,  Q01813"
SIGNOR-PF80;PK;"P14618,  P30613"
SIGNOR-PF81;G6P;"P35575,  Q9BUM1,  Q9NQR9"
