source_UniProtKB-Swiss-Prot,target_UniProtKB-Swiss-Prot
Q8NFU1,Q14802
Q8NFU1,P21964
Q8NFU1,Q9H1C4
Q8NFU1,O75841
Q8NFU1,Q8N2U9
Q8NFU1,Q5BJH2
Q8NFU1,P78369
Q8NFU1,Q9H2L4
Q8NFU1,Q13021
Q8NFU1,Q96AA3
Q8NFU1,O00155
Q8NFU1,Q96LL9
Q8NFU1,Q6N075
Q8NFU1,P52803
Q8NFU1,P54315
Q96EA4,Q96EA4
Q96EA4,Q9BUZ4
Q96EA4,Q9Y4E8
Q96EA4,Q6NYC8
Q96EA4,P35219
Q96EA4,Q14D33
Q96EA4,Q8WXU2
Q6ZP29,Q9NQQ7
Q6ZP29,Q13520
Q6ZP29,Q9NZD1
Q6ZP29,P48165
Q6ZP29,Q9NP94
Q6ZP29,Q9NZG7
Q6ZP29,Q8TDT2
Q6ZP29,P36383
Q6ZP29,P36382
O60931,Q14749
Q9BZR6,ENSG00000105991
Q9BZR6,P32242
Q9BZR6,Q3V5L5
O00194,Q9Y2J0
O00194,P49366
O00194,Q9BV36
O00194,Q9H8Y8
O00194,Q8TDW5
O00194,Q8NFW9
O00194,Q9UNE2
P25789,Q9UBB9
P25789,O14818
P25789,O00635
P25789,Q04864
P25789,Q08379
P25789,Q13422
P25789,Q9H257
Q9Y6F1,P50222
Q8WTV1,P61970
Q8WTV1,Q9BZL1
Q96MK2,Q13077
Q96MK2,P61586
Q96MK2,Q8N228
Q96MK2,P08134
Q96MK2,Q9UPX8
Q96MK2,Q86Z20
Q9BRQ8,Q9BYV2
Q9BRQ8,Q8N129
Q9BRQ8,Q86WT6
ENSG00000042304,Q8N9N5
P40121,Q8IUQ4
P53680,Q6PD74
Q9UKQ2,P00749
Q9UMQ3,Q14192
Q9UMQ3,Q13643
Q96GG9,Q92567
Q96GG9,Q9H305
Q96GG9,Q92537
Q96GG9,Q9BRK4
Q96GG9,Q96B67
Q96GG9,Q96CS7
Q96GG9,Q9BYV2
Q96GG9,Q9H9H4
Q96GG9,Q13625
Q96GG9,Q96IJ6
Q96GG9,Q15018
Q96GG9,Q9BZR9
Q96GG9,Q15038
Q96GG9,Q8WW34
Q96GG9,Q9HCM9
Q9NQC1,P68400
Q9NQC1,Q9UNL4
Q9NQC1,Q9H8Y8
Q9NQC1,Q9HC52
Q9NQC1,Q9HAF1
Q9NQC1,Q96GN5
Q9NQC1,Q8WYH8
Q9NQC1,Q8TAU3
Q9NQC1,Q8NHY3
Q13094,O43639
Q13094,Q8TBB1
Q13094,O75791
Q13094,O75886
Q13094,P51116
Q13094,Q7Z6J0
Q13094,Q08379
Q13094,Q9H5J4
Q13094,P62993
Q16661,Q9UMX0
Q16661,Q9UHD9
P46019,Q93100
P46019,P06132
P46019,P15735
Q9NXG0,Q969G6
Q9NXG0,Q8IYD9
Q13491,Q16623
Q13491,Q9Y282
Q9UBF1,Q16384
Q9UBF1,Q7Z4N8
Q9UBF1,P40426
Q9UBF1,Q16385
Q9Y2I8,P50222
Q9Y2I8,Q01844
Q9NRF8,Q9NRF8
Q9NRF8,Q9NZD8
Q9NRF8,P17812
Q9UI12,O15079
Q9UI12,Q9BZL4
Q9UI12,P42772
Q9UI12,Q96Q35
Q9UI12,Q9UM82
Q32MH5,Q9UJV3
Q32MH5,Q9Y2D8
Q32MH5,Q08379
Q32MH5,P43360
Q32MH5,P14373
Q32MH5,Q6A162
Q96EV8,Q7Z6G3
Q96EV8,O43482
Q96EV8,Q9UL45
Q96EV8,Q9P2A4
Q96EV8,Q8IY31
Q96EV8,P30281
Q96EV8,Q7Z3B3
Q96EV8,Q9Y3C0
Q96EV8,Q9BY27
Q96EV8,Q9NUL5
Q96EV8,P53365
Q96EV8,Q8IYE0
Q96EV8,O00560
Q96EV8,O60941
Q96EV8,Q9BVG8
Q96EV8,O95295
Q96EV8,Q7Z4N8
Q96EV8,Q96CS2
Q96EV8,A1L3X0
Q96EV8,Q8N3L3
Q96EV8,O95678
Q96EV8,A1L4H1
Q96EV8,Q99608
Q96EV8,Q8TD31
Q96EV8,P14373
Q96EV8,Q494R4
Q96EV8,Q8WUW1
Q9UN30,Q8TBB1
Q9UN30,P51606
Q9UN30,O00560
Q9UN30,P05107
Q9UN30,Q5VUG0
Q9HD26,Q15746
Q9HD26,P15408
Q9HD26,Q9NTN9
Q9HD26,Q9NVL8
Q9HD26,P08631
Q9HD26,P04004
Q9HD26,P17081
Q9HD26,Q9Y2P0
Q9HD26,Q14849
Q9HD26,Q8IZQ8
Q9HD26,Q8WVV9
Q9HD26,Q6NYC8
Q9HD26,Q68D86
Q9HD26,Q8NBB4
Q9HD26,Q7Z2X4
Q9HD26,Q16520
Q9HD26,Q8WTX9
Q9HD26,Q2TAK8
Q9HD26,P55040
Q9HD26,Q96D59
Q9HD26,Q6ZSB9
Q9HD26,Q9BYD6
Q9HD26,Q86X10
Q9HD26,Q8NDC4
Q9HD26,Q9P0T4
Q9HD26,Q86YD7
Q9HD26,Q6UWP7
Q9HD26,Q8N9S9
Q9HD26,Q9H9L7
Q9HD26,O43805
Q9HD26,Q8IZU0
Q9HD26,Q9H1K4
Q9HD26,Q969R2
Q9HD26,ENSG00000185594
Q9HD26,Q12882
Q9HD26,Q96SQ5
Q9HD26,Q7Z3C6
Q9HD26,Q0P5P2
Q9HD26,Q8TBZ8
Q7LG56,Q7LG56
Q7LG56,O43929
Q02223,Q9Y5Y5
Q02223,P55061
Q02223,Q96FZ5
Q8TAP4,Q15293
Q8TAP4,Q9Y250
Q8TAP4,O00139
Q8TAP4,O95983
Q8TAP4,Q9UJV3
Q8TAP4,Q96KQ4
Q8TAP4,P49023
Q8TAP4,Q9NWQ4
Q8TAP4,P07910
Q8TAP4,Q15323
Q8TAP4,P52272
Q8TAP4,Q9NRD5
Q8TAP4,Q9UKD1
Q8TAP4,Q96RU7
Q8TAP4,Q06547
Q8TAP4,Q99687
Q8TAP4,Q9BQD3
Q8TAP4,Q02446
Q8TAP4,Q86VP1
Q8TAP4,Q13155
Q8TAP4,P78424
Q8TAP4,Q9BRK4
Q8TAP4,O60711
Q8TAP4,P40937
Q8TAP4,Q99750
Q8TAP4,P36406
Q8TAP4,Q9Y2J4
Q8TAP4,O75934
Q8TAP4,Q9H2G9
Q8TAP4,Q5T686
Q8TAP4,P15173
Q8TAP4,Q9NVV9
Q8TAP4,Q5JR59
Q8TAP4,O14503
Q8TAP4,Q719H9
Q8TAP4,Q8IXK0
Q8TAP4,O15535
Q8TAP4,Q9BYV2
Q8TAP4,Q8N187
Q8TAP4,Q9NYB9
Q8TAP4,Q8ND83
Q8TAP4,Q8N5R6
Q8TAP4,Q96PE6
Q8TAP4,Q9NNX1
Q8TAP4,Q5SW79
Q8TAP4,Q9C0E8
Q8TAP4,Q9UHG0
Q8TAP4,Q5JUW0
Q8TAP4,Q6NT76
Q8TAP4,Q9NS73
Q8TAP4,Q9BRX2
Q8TAP4,P61758
Q8TAP4,Q96HA8
Q8TAP4,Q96EH3
Q8TAP4,Q96BR9
Q8TAP4,Q9UK41
Q8TAP4,O14492
Q8TAP4,Q7L4P6
Q8TAP4,Q8WUP2
Q8TAP4,Q8N6K7
Q8TAP4,Q8TDC0
Q8TAP4,Q8N7W2
Q8TAP4,Q86XR8
Q8TAP4,Q70EL1
Q8TAP4,Q8N8U2
Q8TAP4,P52747
Q8TAP4,Q08379
Q8TAP4,Q96N21
Q8TAP4,Q9UL33
Q8TAP4,Q96N77
Q8TAP4,Q8NI38
Q8TAP4,Q8TF50
Q8TAP4,P31943
Q8TAP4,O43298
Q8TAP4,O43679
Q8TAP4,P48059
Q8TAP4,Q16082
Q8TAP4,P01100
Q8TAP4,Q8WWY6
Q8TAP4,O76015
Q8TAP4,Q14005
Q8TAP4,Q8N9N5
Q8TAP4,Q8NA61
Q8TAP4,Q15834
Q8TAP4,Q8ND90
Q8TAP4,Q6ZNG0
Q8TAP4,A8K0Z3
Q8TAP4,Q86WK6
Q8TAP4,Q8IYX8
Q8TAP4,Q9C0I3
Q8TAP4,Q86Y26
Q8TAP4,Q86SE5
Q8TAP4,Q9BTD3
Q8TAP4,Q8HWS3
Q8TAP4,Q96AQ9
Q8TAP4,Q13422
Q8TAP4,Q5VWK0
Q8TAP4,Q9NZC7
Q8TAP4,Q2NL98
Q8TAP4,Q9H257
Q8TAP4,Q5BKX5
Q8TAP4,Q9UHB4
Q8TAP4,Q6ZSJ9
Q8TAP4,Q9GZT8
Q8TAP4,Q0VD86
Q8TAP4,A8MQ03
Q8TAP4,Q63ZY3
Q8TAP4,A6NEM1
Q8TAP4,P51523
Q8TAP4,Q2TAL8
Q8TAP4,Q9UC07
Q8TAP4,Q96SQ5
Q8TAP4,Q86U70
Q8TAP4,ENSG00000215271
Q8TAP4,Q8TDR4
Q8TAP4,ENSG00000254445
Q8TAP4,Q8NAP8
P43080,O15499
P43080,Q9BW62
P43080,O95994
P43080,Q96PH6
P43080,Q96D03
P43080,P31321
P43080,Q9BXJ0
Q14055,P50222
Q14055,Q9UMX0
Q14055,Q9UHD9
Q13216,Q13557
Q15836,Q9NR31
Q15836,Q99735
Q15836,Q13520
Q15836,P21964
Q15836,O95721
Q15836,Q9BXK5
Q15836,Q13323
Q15836,Q14973
Q15836,Q12846
Q15836,P11912
Q15836,Q16623
Q15836,Q9H7M9
Q15836,P32856
Q15836,Q9GZR5
Q15836,Q5T7V8
Q15836,Q96KR6
Q15836,Q5JX71
Q15836,Q9Y282
Q15836,Q53FP2
Q15836,Q96TC7
Q15836,Q86VR2
Q15836,O14880
Q15836,Q96DZ7
Q15836,Q9NVV5
Q15836,P36021
Q15836,Q15125
Q15836,O14684
Q15836,Q96Q45
Q15836,Q13113
Q15836,Q8WZ55
Q15836,Q8TED1
Q15836,O95279
Q15836,Q4KMG9
Q15836,Q9NY72
Q15836,Q9H5X1
Q15836,O14524
Q15836,Q96G97
Q15836,Q53R12
Q15836,Q3SXY8
Q15836,Q8TBP5
Q15836,Q86T13
Q15836,Q5JXX7
Q15836,Q8N661
Q15836,O95471
Q15836,Q8IVF2
Q15836,Q6ZT21
Q15836,Q8TAF8
Q15836,Q9Y320
Q15836,ENSG00000273331
Q07011,Q9Y6X1
Q9H201,Q92567
Q9H201,O15344
Q9H201,O76064
Q9H201,P62979
Q9H201,Q96HA8
Q9H201,Q15038
Q9H201,Q99732
Q9H201,Q12899
Q15293,Q5JVL4
Q15293,Q8TEB1
Q15293,O43765
Q15293,Q86VK4
Q15293,Q9H0I2
Q15293,Q9BQ89
Q15293,O95257
Q15293,Q969Y2
Q15293,P25791
Q15293,P51687
Q15293,P61968
Q15293,O15182
Q15293,P25800
Q15293,Q8N5M1
Q15293,Q96EQ0
Q15293,O43681
Q15293,Q12797
Q15293,Q96JP2
P35250,P25786
P35250,Q15915
P35250,Q5VVQ6
P35250,O14964
Q96KA5,Q9H3M0
Q96PU5,Q96B67
Q96PU5,Q15038
Q9BZS1,P53539
Q9BZS1,Q93062
Q9BZS1,Q8IUC2
Q9BZS1,Q3LI66
Q9BZS1,P86481
Q9BZS1,P86496
Q9BZS1,Q9BYR6
Q9BZS1,P86480
Q9BZS1,P86479
Q9BZS1,P86478
P07686,ENSG00000105991
P07686,Q96KR6
P07686,Q9NUH8
Q8WV60,Q9UJV3
Q8WV60,O15344
Q8WV60,Q13049
Q8WV60,Q70CQ1
Q9P055,Q96EC8
Q9UBP4,O43765
Q12774,Q9UJV3
Q12774,Q9NRD5
Q12774,Q9NVG8
Q12774,Q9Y2V7
Q12774,P25791
Q12774,Q13137
Q12774,Q9BYV2
Q12774,Q8ND83
Q12774,O75031
Q12774,Q96KN4
Q12774,Q96EW2
Q12774,O15160
Q12774,Q7L775
Q12774,Q8IYB1
Q12774,Q5JST6
Q12774,Q58EX7
Q12774,P15884
Q12774,P14373
Q6P1Q0,P02654
Q6P1Q0,Q9NRX6
Q6P1Q0,ENSG00000224916
Q6P1Q0,P55056
Q96KP6,Q8WXW3
Q96KP6,O00505
Q96KP6,Q86VP1
Q96KP6,Q9BRK4
Q96KP6,P21580
Q96KP6,Q5JR59
Q96KP6,P48745
Q96KP6,Q15025
Q96KP6,Q96HA8
Q96KP6,Q96BR9
Q96KP6,Q3B820
Q96KP6,Q9BZR9
Q96KP6,Q8N8B7
Q96KP6,Q15038
Q96KP6,P43356
Q96KP6,P60410
Q96KP6,Q9NRY6
Q96KP6,Q99732
Q96KP6,A8MQ03
Q96KP6,Q6A162
Q96KP6,Q7Z3S9
Q96KP6,A0A087WUL8
P45984,Q9Y250
P45984,O15499
P45984,Q8TBB1
P45984,O43379
P45984,O43602
P45984,P24278
P45984,Q9NRD5
P45984,Q2I0M5
P45984,O00505
P45984,Q9BYU1
P45984,O43257
P45984,P78424
P45984,Q9UBR4
P45984,Q9BY84
P45984,P15336
P45984,Q53FD0
P45984,Q8IYF3
P45984,Q13115
P45984,Q9H0I2
P45984,Q13042
P45984,P14136
P45984,P37231
P45984,P49407
P45984,O00560
P45984,Q8N448
P45984,Q8N5R6
P45984,P32121
P45984,Q6P1W5
P45984,Q13352
P45984,Q15427
P45984,Q9Y6W6
P45984,Q86YW9
P45984,Q9P2G9
P45984,Q5VWP3
P45984,Q8IYX7
P45984,Q9NYA3
P45984,Q13363
P45984,Q9C0F1
P45984,Q8IYA8
P45984,Q8N7E2
P45984,P34896
P45984,Q8N9I9
P45984,A2RU48
P45984,O95561
P45984,Q5JST6
P45984,Q96EZ8
P45984,Q9BR84
P45984,P0C671
P45984,Q02548
P45984,P52744
P45984,Q96JM7
P45984,Q5HYW2
P45984,Q8TDR4
P45984,Q96S79
P56945,Q92625
P56945,O43639
P56945,Q9BZE0
P56945,P53618
P56945,Q96QH2
P56945,Q5T9C2
P56945,Q86YD7
P56945,P07947
Q8N612,Q9UI14
Q8N612,Q96HR9
Q8N612,O95197
Q8N612,Q16799
Q8N612,Q6RW13
Q15011,Q01844
Q9NSC5,Q9NSC5
Q9NSC5,Q9NU19
Q9NSC5,Q8TBB1
Q9NSC5,O94915
Q9NSC5,O76041
Q9NSC5,Q06455
Q9NSC5,Q9NW64
Q9NSC5,P63167
Q9NSC5,O15371
Q9NSC5,Q9UNA4
Q9NSC5,Q16543
Q9NSC5,P50458
Q9NSC5,Q9P2A4
Q9NSC5,Q8TC05
Q9NSC5,O43516
Q9NSC5,Q07002
Q9NSC5,P09067
Q9NSC5,Q16512
Q9NSC5,Q96NM4
Q9NSC5,P25786
Q9NSC5,Q8WX93
Q9NSC5,Q969T9
Q9NSC5,Q5T7N3
Q9NSC5,Q96IQ9
Q9NSC5,Q8IZP0
Q9NSC5,O00560
Q9NSC5,Q9NYB9
Q9NSC5,Q53FE4
Q9NSC5,P62306
Q9NSC5,Q8ND83
Q9NSC5,P55081
Q9NSC5,O95995
Q9NSC5,Q92733
Q9NSC5,Q9NVF7
Q9NSC5,Q96JC9
Q9NSC5,Q6NYC8
Q9NSC5,Q96HB5
Q9NSC5,Q9BX40
Q9NSC5,Q2TBE0
Q9NSC5,Q86YM7
Q9NSC5,Q5JRA6
Q9NSC5,Q8IYX7
Q9NSC5,Q96MY7
Q9NSC5,Q96HA8
Q9NSC5,P17023
Q9NSC5,Q92997
Q9NSC5,P0CG20
Q9NSC5,Q7Z5V6
Q9NSC5,Q9BWG6
Q9NSC5,Q6ZP82
Q9NSC5,P32243
Q9NSC5,Q4VC12
Q9NSC5,Q96KN8
Q9NSC5,Q3SXY8
Q9NSC5,P13682
Q9NSC5,P02814
Q9NSC5,Q86YD7
Q9NSC5,P00540
Q9NSC5,Q9P1Z0
Q9NSC5,Q86UU5
Q9NSC5,Q9BW04
Q9NSC5,Q96HA1
Q9NSC5,Q0VD86
Q9NSC5,Q63ZY3
Q9NSC5,Q8N720
Q9NSC5,Q9UIG4
Q9NSC5,Q96PK6
Q9NSC5,Q3SYF9
Q9NSC5,A0A096LP49
Q9NSC5,Q96FJ2
Q9Y5Z4,Q9H8W4
Q9Y5Z4,O75340
Q9HAU0,Q5EBL8
Q9BRV8,O43439
Q9BRV8,P40222
Q9BRV8,Q53FD0
Q9BRV8,O75558
Q9BRV8,Q9UIL1
Q9BRV8,Q96HA8
Q9BRV8,Q8N3L3
Q9BRV8,P78358
Q9BRV8,Q13033
Q15800,P09601
Q15800,Q9UKR5
Q15800,Q9NV12
Q15800,P50281
Q15800,Q6PI78
Q15800,Q13277
Q15800,Q6NT55
Q15800,Q6ZVE7
Q15800,O95070
Q15800,Q96LL9
Q15800,P17152
Q15800,Q8N661
Q15800,Q9NWH2
Q15800,P0DN84
Q9H161,Q9HBI0
Q9H161,Q8NA54
O43488,O43488
O43488,Q9Y2K1
O43488,O95154
Q9NZ43,Q13520
Q9NZ43,Q9NUG4
Q9NZ43,Q12846
Q9NZ43,Q16623
Q9NZ43,P50222
Q9NZ43,O43889
Q9NZ43,Q6NSX1
Q9NZ43,Q9BQE5
Q9NZ43,Q15125
Q9NZ43,Q5SR56
Q9NZ43,Q9NY72
Q9NZ43,Q96G97
Q9NZ43,Q8N5M9
Q9NZ43,Q8N661
Q9NZ43,Q9BXU9
Q9NZ43,P14373
Q9BQI9,Q8WUI4
Q9BQI9,P36508
Q9BQI9,Q8N9N5
O43617,Q9UL33
O43617,Q9Y5R8
O43617,Q9H8W4
O43617,Q8IUR0
O43617,P0DI81
O43617,P0DI82
Q9NRX4,Q9UJW3
Q4LE39,Q9NQM4
Q4LE39,Q9BTE6
Q4LE39,Q92569
Q4LE39,P22626
Q4LE39,Q96JC9
Q4LE39,P63172
Q4LE39,Q96HA8
Q4LE39,Q9H8W4
Q4LE39,Q6ZRT6
Q4LE39,Q5HYW2
Q4LE39,Q9NS25
Q16849,Q9H6E4
Q16849,Q9NPL8
Q16849,P48165
Q16849,P60201
Q16849,P21145
Q16849,Q8TDT2
Q16849,Q96HE8
Q16849,Q13061
Q5VTY9,O00560
O60333,Q8IUQ4
Q8WXH0,P50222
Q9Y5K1,P15884
Q6WN34,Q9UPY8
Q6WN34,Q9H2X0
Q6WN34,P16930
Q6WN34,ENSG00000105991
Q6WN34,P32242
Q6WN34,Q92569
Q6WN34,Q9H0I2
Q6WN34,Q12837
Q6WN34,Q86YD7
Q6WN34,Q8N9N5
Q6WN34,Q8TAU3
Q6WN34,O75093
Q6WN34,Q96SQ5
Q6WN34,Q9Y4H4
Q92567,Q92567
Q92567,Q13952
Q92567,P78337
Q92567,Q9UQM7
Q92567,O95208
Q92567,Q9NWB1
Q92567,Q9H0E2
Q92567,Q8WU79
Q92567,Q9P2K6
Q92567,Q96DC9
Q92567,Q86UW9
Q92567,Q9HBE1
Q92567,Q86VP1
Q92567,Q92734
Q92567,Q96CS7
Q92567,P09234
Q92567,P54253
Q92567,O00291
Q92567,Q9BSL1
Q92567,Q9BQY4
Q92567,O14770
Q92567,Q13137
Q92567,Q6P1W5
Q92567,P62979
Q92567,Q96HR8
Q92567,Q15025
Q92567,Q9BYJ9
Q92567,P0CG48
Q92567,Q01085
Q92567,A1KXE4
Q92567,Q8N9W6
Q92567,Q96BN8
Q92567,Q8TF42
Q92567,Q93062
Q92567,Q969U6
Q92567,Q9NXW9
Q92567,Q9UBV8
Q92567,O94888
Q92567,Q6ZRY4
Q92567,Q9BZV1
Q92567,A5D8V6
Q92567,Q15637
Q92567,O43593
Q92567,O75553
Q92567,Q13470
Q92567,O75360
Q92567,Q9Y2K5
Q92567,Q5VVQ6
Q92567,Q15038
Q92567,Q8IUC2
Q92567,Q8IUB9
Q92567,O75177
Q92567,O14964
Q92567,Q3LI66
Q92567,Q3LI72
Q92567,Q96T21
Q92567,Q9UHD9
Q92567,Q9UIG5
Q92567,P86481
Q92567,P86496
Q92567,Q9BYR6
Q92567,Q9BYR8
Q92567,P62987
Q92567,ENSG00000222047
Q92567,P0C7T5
Q92567,P86480
Q92567,P86479
Q92567,P86478
Q92567,Q3SYF9
Q92567,Q13404
Q92567,Q8IUC3
Q12809,Q9BZ67
Q9NRY5,Q9UKJ1
Q9NRY5,Q9Y371
Q9NRY5,P61019
Q9NRY5,Q8WUD1
Q9NRY5,Q969Z0
Q9NRY5,Q05329
Q9NRY5,P49638
Q9NRY5,P43378
Q9NRY5,Q96C03
Q9NRY5,P19404
Q9NYJ8,Q9UQM7
Q9NYJ8,P78386
Q9NYJ8,Q9Y6C2
Q9NYJ8,P06753
Q9NYJ8,O75031
Q9NYJ8,P52747
Q9NYJ8,Q08379
Q9NYJ8,P15407
Q9NYJ8,Q8N1B4
Q9NU53,Q969F0
P19525,O75569
P19525,P78563
Q96PX6,Q13625
Q96PX6,Q8TDW5
Q8N983,P51116
Q8ND82,P45973
Q8ND82,P83916
Q8ND82,Q13185
Q8ND82,Q08379
Q8ND82,Q9H2G4
Q8ND82,P60371
Q8ND82,ENSG00000215271
Q9Y5X5,Q9Y680
Q9Y5X5,A2RU14
Q9Y5X5,Q8IXB3
Q96EK2,Q9P2K3
Q96EK2,Q12800
Q96EK2,Q8N9N5
Q13077,Q13077
Q13077,Q9NQL9
Q13077,Q9P0W2
Q13077,P78337
Q13077,Q68DK2
Q13077,Q8TBB1
Q13077,Q9UJF2
Q13077,P15408
Q13077,O76041
Q13077,Q9UII6
Q13077,Q96KQ4
Q13077,Q96IZ5
Q13077,Q01664
Q13077,Q9NZD8
Q13077,Q9BTA9
Q13077,P52272
Q13077,Q9HBE1
Q13077,Q15040
Q13077,Q9NVL8
Q13077,Q13573
Q13077,Q9BQ24
Q13077,P56279
Q13077,Q9P2K5
Q13077,Q13188
Q13077,Q13011
Q13077,Q08117
Q13077,ENSG00000105991
Q13077,Q9NX63
Q13077,Q8NEA6
Q13077,O76003
Q13077,Q7Z417
Q13077,Q05516
Q13077,Q99618
Q13077,O95935
Q13077,Q08499
Q13077,P36406
Q13077,Q08426
Q13077,P41182
Q13077,P28676
Q13077,Q9H8Y8
Q13077,Q9NX04
Q13077,Q07002
Q13077,Q9P2K3
Q13077,Q53FD0
Q13077,P09067
Q13077,Q5T5P2
Q13077,Q13115
Q13077,Q49AN0
Q13077,Q16512
Q13077,Q9H0I2
Q13077,P38936
Q13077,O75603
Q13077,Q12933
Q13077,Q13526
Q13077,P25786
Q13077,Q96GS6
Q13077,Q9BSW2
Q13077,Q9NUL5
Q13077,O95835
Q13077,P17024
Q13077,Q9BXY8
Q13077,Q8IYE0
Q13077,Q96BD5
Q13077,Q9UBP5
Q13077,P10606
Q13077,Q14119
Q13077,Q13546
Q13077,Q99728
Q13077,Q9BVL2
Q13077,Q6PF18
Q13077,Q8TAB5
Q13077,Q8WXI9
Q13077,Q9NZF1
Q13077,Q6ZT89
Q13077,Q7L591
Q13077,Q96HB5
Q13077,Q0D2K3
Q13077,P42772
Q13077,Q92529
Q13077,Q9NQ94
Q13077,Q9NQB0
Q13077,A6NI15
Q13077,Q96CS2
Q13077,Q15915
Q13077,Q9Y2V2
Q13077,Q96ME1
Q13077,Q8IUH3
Q13077,Q53TS8
Q13077,Q8TB45
Q13077,Q8IWZ5
Q13077,Q96MY7
Q13077,ENSG00000158483
Q13077,Q9Y2K2
Q13077,Q8IYX3
Q13077,ENSG00000161981
Q13077,Q7Z5V6
Q13077,Q9BWG6
Q13077,Q99697
Q13077,Q96LM5
Q13077,P55040
Q13077,Q5JUK2
Q13077,Q9H7H0
Q13077,Q6BCY4
Q13077,Q15555
Q13077,P40426
Q13077,Q969H6
Q13077,P17027
Q13077,P11844
Q13077,P12236
Q13077,P35452
Q13077,Q3B820
Q13077,O95678
Q13077,Q8IYI8
Q13077,Q9P0T4
Q13077,Q15560
Q13077,Q5T0L3
Q13077,Q8N0S2
Q13077,P00540
Q13077,Q8TAU3
Q13077,P63218
Q13077,Q9Y4K3
Q13077,Q6UXK5
Q13077,Q2WGJ6
Q13077,Q7RTU3
Q13077,Q9NP98
Q13077,Q8N715
Q13077,A6NNX1
Q13077,Q8TAE8
Q13077,P23769
Q13077,Q5T619
Q13077,A1L4H1
Q13077,Q7Z3I7
Q13077,Q96GV9
Q13077,Q9NRE2
Q13077,Q01844
Q13077,Q6ZS27
Q13077,Q9Y5U2
Q13077,Q9BT49
Q13077,O14964
Q13077,Q8IXW0
Q13077,P12035
Q13077,Q494U1
Q13077,Q96NU1
Q13077,A6NFD8
Q13077,Q14D33
Q13077,Q9ULM2
Q13077,Q96BR6
Q13077,Q8TES7
Q13077,Q9H596
Q13077,P15622
Q13077,Q96JN0
Q13077,Q15973
Q13077,Q8TBZ5
Q13077,Q96KM6
Q13077,Q03989
Q13077,Q63ZY3
Q13077,Q15561
Q13077,Q02040
Q13077,Q2TAL8
Q13077,Q96SQ5
Q13077,Q7L945
Q13077,Q8TD31
Q13077,O95759
Q13077,Q9HAK2
Q13077,Q08AG5
Q13077,P0C7X2
Q13077,P29972
Q13077,Q08043
Q13077,Q8TBZ8
Q13077,Q5TAP6
Q13077,A0A096LP49
Q13077,Q8WWW0
Q13077,Q96GY3
Q13077,ENSG00000280987
O43734,Q13084
O43734,Q15654
O43734,Q99750
O43734,O75716
O43734,Q12933
O43734,Q08379
O43734,Q9Y4K3
O43734,A6NJZ7
O43734,Q13643
O15488,P13807
Q96PD2,Q8TB36
Q96PD2,Q9NPL8
Q96PD2,O60636
Q96PD2,Q13021
Q96PD2,Q9H6H4
Q96PD2,Q5TF39
Q99959,Q9HAT0
Q99959,Q4V328
Q99959,Q8WXW3
Q99959,Q15323
Q99959,Q96ED9
Q99959,Q96A72
Q99959,Q5JR59
Q99959,Q96HB5
Q99959,Q8WW24
Q99959,P02549
Q99959,Q9GZM8
Q99959,Q08379
Q99959,Q86Z20
Q99959,Q13643
Q99959,Q9H257
Q99959,Q58EX7
Q99959,Q8TD31
Q99959,Q9NZQ3
Q99959,Q08043
Q9H1Y0,Q4V328
Q9H1Y0,Q14145
Q9H1Y0,Q96ED9
Q9H1Y0,Q06787
Q9H1Y0,P50222
Q9H1Y0,Q86T90
Q9H1Y0,Q9H0Y0
Q9H1Y0,Q8WUD4
Q9H1Y0,Q8WW24
Q9H1Y0,P55072
Q9H1Y0,Q9Y6H3
Q9H1Y0,Q0VD86
Q9H1Y0,Q8TD31
Q9H1Y0,Q7Z6L1
Q9H1Y0,A5LHX3
Q9ULS5,O15482
Q92995,Q15038
Q9Y2G3,A6NI15
Q9Y2G3,P15884
Q13554,Q13554
Q13554,P78317
Q13554,Q9Y5L0
Q13554,Q9UQM7
Q13554,Q9NTN9
Q13554,O00154
Q13554,P15289
Q13554,O43251
Q13554,Q9NUG4
Q13554,Q93100
Q13554,Q16543
Q13554,O14787
Q13554,P50222
Q13554,Q9UI95
Q13554,Q5W111
Q13554,Q15014
Q13554,Q9BUE0
Q13554,Q9UJ78
Q13554,Q8N0Z6
Q13554,P62913
Q13554,Q13557
Q13554,Q13555
Q13554,Q93062
Q13554,Q969H6
Q13554,Q3V5L5
Q13554,Q6P1R4
Q13554,O43790
Q13554,Q9Y3B7
Q13554,P61225
Q13554,Q9UBU8
Q13554,Q9BUI4
Q13554,Q3LI66
Q13554,Q3LI72
Q13554,Q07627
Q13554,P26640
Q13554,Q3LI67
Q13554,P60412
Q13554,Q7Z4W3
Q13554,Q3SYF9
O75152,P40692
Q9BVS4,Q9HAZ2
Q9Y548,Q13520
Q9Y548,Q9UHI5
Q9Y548,Q9NWD8
Q9Y548,Q9NZD1
Q9Y548,Q9NPL8
Q9Y548,Q9Y282
Q9Y548,O15529
Q9Y548,Q9NUH8
Q9Y548,Q8TAZ6
Q9Y548,Q86VR2
Q9Y548,Q3KNW5
Q9Y548,Q15125
Q9Y548,Q5SR56
Q9Y548,Q96MV1
Q9Y548,Q9NXF8
Q9Y548,P48051
Q9Y548,Q3ZAQ7
Q9Y548,P07307
Q9Y548,Q9NYZ1
