source_UniProtKB-Swiss-Prot,target_UniProtKB-Swiss-Prot
Q14847,Q96EF6
Q9Y5W9,O75800
Q9Y5W9,Q9UI14
Q9Y5W9,Q96HR9
Q9Y5W9,Q8NB12
Q9Y5W9,Q8N987
Q9Y5W9,Q9NRG4
Q9Y5W9,Q3KP22
Q9Y5W9,Q15041
Q9Y5W9,O95070
Q9Y5W9,Q9NS64
Q96HP8,Q9HA82
Q96HP8,P11912
Q96HP8,Q3YBM2
Q96HP8,Q9NPL8
Q96HP8,Q9H2K0
Q96HP8,Q8NBJ4
Q96HP8,Q86VR2
Q96HP8,Q86SK9
Q96HP8,Q5SR56
Q96HP8,O95279
Q96HP8,O95470
Q96HP8,Q9Y320
P20645,Q9UNI6
P20645,Q86UP2
P20645,Q9NRQ5
P20645,Q9NZG7
P20645,Q96F15
Q05084,ENSG00000024862
Q05084,O95983
Q05084,P61019
Q05084,Q8WUD1
Q05084,Q8WYH8
Q92851,P98170
O15519,Q13077
P52756,P50221
P52756,O95822
P52756,P50222
Q9Y216,Q96QG7
Q9Y216,P51946
P84085,Q96HD9
P84085,Q8N9I9
Q9Y2S7,P13196
Q9Y2S7,Q9NQM4
Q9Y2S7,Q9Y6H1
Q9Y2S7,Q5JR59
Q9Y2S7,Q6RW13
Q9Y4D7,P09067
Q02790,Q92990
O60341,Q9NSC5
O60341,Q9Y250
O60341,Q9BUZ4
O60341,Q15323
O60341,Q9BWT7
O60341,Q9UBB9
O60341,Q8TAP6
O60341,Q7Z6G3
O60341,Q5W5X9
O60341,Q6P597
O60341,Q08117
O60341,Q9BYU1
O60341,Q13490
O60341,Q16236
O60341,Q9P2K3
O60341,P45379
O60341,Q9Y3C0
O60341,P38432
O60341,Q99471
O60341,Q13287
O60341,Q14525
O60341,P01106
O60341,Q9BYV2
O60341,Q9H9H4
O60341,Q8N5R6
O60341,Q9BVG8
O60341,O95995
O60341,Q96P16
O60341,Q13625
O60341,Q96F24
O60341,Q8N6V9
O60341,Q86WH2
O60341,Q8TF42
O60341,Q9NYA3
O60341,Q86SG2
O60341,Q8N0Z3
O60341,Q8TC20
O60341,Q9H8W3
O60341,P17980
O60341,Q86XR8
O60341,O15060
O60341,Q08379
O60341,Q2M3C6
O60341,Q3B820
O60341,P19012
O60341,O76015
O60341,Q49A88
O60341,Q96CN9
O60341,Q9UPT5
O60341,Q6A163
O60341,Q92764
O60341,Q9HCM9
O60341,Q6A162
O60341,O96006
O60341,O75564
O60341,ENSG00000273136
P78332,Q15555
P78332,P26641
O14559,A8MQ03
O14561,Q8TBB1
O14561,Q53EP0
O14561,Q08AM6
O14561,O43482
O14561,Q7L273
O14561,Q96PG8
O14561,Q9BXH1
O14561,P55884
O14561,Q16656
O14561,Q9GZT3
O14561,Q86VK4
O14561,Q96NM4
O14561,Q9NVV9
O14561,P25791
O14561,Q6PF18
O14561,Q9BSK4
O14561,Q96HA8
O14561,P17023
O14561,Q8N4L8
O14561,Q96I34
O14561,O43711
O14561,P17980
O14561,Q969H6
O14561,Q9BQA5
O14561,Q13643
O14561,Q5H9J7
O14561,Q3KNS6
O14561,Q86UR1
O14561,A4D2B0
O14561,P26441
O14561,Q08043
Q16654,Q9H8W4
O75800,Q99593
O75800,Q96FT9
O75800,A1L443
O75800,Q5JR59
O75800,Q7L2H7
O75800,Q9Y3Q8
O75800,ENSG00000184258
O75800,Q86Y26
O75800,P57052
O75800,P15884
O75800,A8MQ03
O75800,Q96G27
P30260,P21964
P02730,Q9BXR6
P02730,Q9H2L4
P02730,Q9BZ11
P02730,O95393
P53701,Q13596
P53701,Q9UHD4
P53701,Q9HC62
O14641,O14641
O14641,O14978
O14641,P42768
O14641,P26368
O14641,Q9BXS5
O14641,Q96RL1
O14641,Q9UNA4
O14641,Q96A72
O14641,P45974
O14641,O60739
O14641,O43395
O14641,P36575
O14641,O60504
O14641,Q9H0I2
O14641,Q12933
O14641,Q9BSL1
O14641,Q9BQY4
O14641,Q9NVV9
O14641,Q13131
O14641,Q8N4T4
O14641,Q8TBE0
O14641,Q8N5R6
O14641,Q96CG3
O14641,Q8N684
O14641,O95817
O14641,Q96BN8
O14641,Q93062
O14641,Q96H20
O14641,Q96BR9
O14641,Q9BVN2
O14641,Q96CW1
O14641,Q7Z7J5
O14641,Q8TAD8
O14641,P61457
O14641,Q8WTU0
O14641,P07947
O14641,Q96EZ8
O14641,P15622
O14641,Q8N5A5
O14641,P49910
O14641,P10074
O14641,Q15287
O14641,Q8IYF1
O14641,P49674
